Priority,Done,Module,Entity,Type,Full_Name,Source
,,sage.arith.misc,prime_divisors,function,sage.arith.misc.prime_divisors,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L2802
,,sage.arith.misc,prime_factors,function,sage.arith.misc.prime_factors,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L2802
,,sage.arith.misc,prime_powers,function,sage.arith.misc.prime_powers,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L809
,,sage.arith.misc,prime_to_m_part,function,sage.arith.misc.prime_to_m_part,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L2886
,,sage.arith.misc,primes,function,sage.arith.misc.primes,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L1020
,,sage.arith.misc,primes_first_n,function,sage.arith.misc.primes_first_n,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L931
,,sage.arith.misc,primitive_root,function,sage.arith.misc.primitive_root,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L4369
,,sage.arith.misc,quadratic_residues,function,sage.arith.misc.quadratic_residues,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L4533
,,sage.arith.misc,radical,function,sage.arith.misc.radical,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L2762
,,sage.arith.misc,random_prime,function,sage.arith.misc.random_prime,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L1376
,,sage.arith.misc,rational_reconstruction,function,sage.arith.misc.rational_reconstruction,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L2360
,,sage.arith.misc,rising_factorial,function,sage.arith.misc.rising_factorial,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L5224
,,sage.arith.misc,smooth_part,function,sage.arith.misc.smooth_part,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L6421
,,sage.arith.misc,sort_complex_numbers_for_display,function,sage.arith.misc.sort_complex_numbers_for_display,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L6011
,,sage.arith.misc,squarefree_divisors,function,sage.arith.misc.squarefree_divisors,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L6110
,,sage.arith.misc,subfactorial,function,sage.arith.misc.subfactorial,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L5858
,,sage.arith.misc,sum_of_k_squares,function,sage.arith.misc.sum_of_k_squares,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L5752
,,sage.arith.misc,three_squares,function,sage.arith.misc.three_squares,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L5531
,,sage.arith.misc,trial_division,function,sage.arith.misc.trial_division,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L2518
,,sage.arith.misc,two_squares,function,sage.arith.misc.two_squares,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L5412
,,sage.arith.misc,valuation,function,sage.arith.misc.valuation,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L738
,,sage.arith.misc,xgcd,function,sage.arith.misc.xgcd,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L1939
,,sage.arith.misc,xkcd,function,sage.arith.misc.xkcd,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L2136
,,sage.arith.misc,xlcm,function,sage.arith.misc.xlcm,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L1899
,,sage.arith.multi_modular,MultiModularBasis,class,sage.arith.multi_modular.MultiModularBasis,https://github.com/sagemath/sage/blob/develop/src/sage/arith/multi_modular.pyx#L851
,,sage.arith.multi_modular,MultiModularBasis_base,class,sage.arith.multi_modular.MultiModularBasis_base,https://github.com/sagemath/sage/blob/develop/src/sage/arith/multi_modular.pyx#L37
,,sage.arith.multi_modular,MutableMultiModularBasis,class,sage.arith.multi_modular.MutableMultiModularBasis,https://github.com/sagemath/sage/blob/develop/src/sage/arith/multi_modular.pyx#L917
,,sage.arith.multi_modular,multi_modular,module,sage.arith.multi_modular,https://github.com/sagemath/sage/blob/develop/src/sage/arith/multi_modular.pyx#L851
,,sage.arith.power,generic_power,function,sage.arith.power.generic_power,https://github.com/sagemath/sage/blob/develop/src/sage/arith/power.pyx#L24
,,sage.arith.power,power,module,sage.arith.power,https://github.com/sagemath/sage/blob/develop/src/sage/arith/power.pyx#L24
,,sage.arith.srange,ellipsis_iter,function,sage.arith.srange.ellipsis_iter,https://github.com/sagemath/sage/blob/develop/src/sage/arith/srange.pyx#L321
,,sage.arith.srange,ellipsis_range,function,sage.arith.srange.ellipsis_range,https://github.com/sagemath/sage/blob/develop/src/sage/arith/srange.pyx#L449
,,sage.arith.srange,srange,module,sage.arith.srange,
,,sage.arith.srange,srange,function,sage.arith.srange.srange,https://github.com/sagemath/sage/blob/develop/src/sage/arith/srange.pyx#L175
,,sage.arith.srange,xsrange,function,sage.arith.srange.xsrange,https://github.com/sagemath/sage/blob/develop/src/sage/arith/srange.pyx#L30
,,sage.calculus,calculus,module,sage.calculus,
,,sage.calculus.calculus,at,function,sage.calculus.calculus.at,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L1964
,,sage.calculus.calculus,calculus,module,sage.calculus.calculus,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L1964
,,sage.calculus.calculus,dummy_diff,function,sage.calculus.calculus.dummy_diff,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L2042
,,sage.calculus.calculus,dummy_integrate,function,sage.calculus.calculus.dummy_integrate,https://github.com/sagemath/sage/blob/develop/src/sage/calculus/calculus.py#L2067
