part,status,full_name,module,entity_name,type,bases,source
01,Implemented,sage.arith.misc.random_prime,sage.arith.misc,random_prime,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L1376
01,Implemented,sage.arith.misc.rational_reconstruction,sage.arith.misc,rational_reconstruction,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L2360
01,Implemented,sage.arith.misc.rising_factorial,sage.arith.misc,rising_factorial,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L5224
01,Implemented,sage.arith.misc.smooth_part,sage.arith.misc,smooth_part,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L6421
01,Implemented,sage.arith.misc.sort_complex_numbers_for_display,sage.arith.misc,sort_complex_numbers_for_display,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L6011
01,Implemented,sage.arith.misc.squarefree_divisors,sage.arith.misc,squarefree_divisors,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L6110
01,Implemented,sage.arith.misc.subfactorial,sage.arith.misc,subfactorial,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L5858
01,Implemented,sage.arith.misc.sum_of_k_squares,sage.arith.misc,sum_of_k_squares,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L5752
01,Implemented,sage.arith.misc.three_squares,sage.arith.misc,three_squares,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L5531
01,Implemented,sage.arith.misc.trial_division,sage.arith.misc,trial_division,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L2518
01,Implemented,sage.arith.misc.two_squares,sage.arith.misc,two_squares,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L5412
01,Implemented,sage.arith.misc.valuation,sage.arith.misc,valuation,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L738
01,Implemented,sage.arith.misc.xgcd,sage.arith.misc,xgcd,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L1939
01,Implemented,sage.arith.misc.xkcd,sage.arith.misc,xkcd,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L2136
01,Implemented,sage.arith.misc.xlcm,sage.arith.misc,xlcm,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/misc.py#L1899
01,Implemented,sage.arith.multi_modular,sage.arith.multi_modular,multi_modular,module,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/multi_modular.pyx#L851
01,Implemented,sage.arith.multi_modular.MultiModularBasis,sage.arith.multi_modular,MultiModularBasis,class,MultiModularBasis_base,https://github.com/sagemath/sage/blob/develop/src/sage/arith/multi_modular.pyx#L851
01,Implemented,sage.arith.multi_modular.MultiModularBasis_base,sage.arith.multi_modular,MultiModularBasis_base,class,object,https://github.com/sagemath/sage/blob/develop/src/sage/arith/multi_modular.pyx#L37
01,Implemented,sage.arith.multi_modular.MutableMultiModularBasis,sage.arith.multi_modular,MutableMultiModularBasis,class,MultiModularBasis,https://github.com/sagemath/sage/blob/develop/src/sage/arith/multi_modular.pyx#L917
01,Implemented,sage.arith.power,sage.arith.power,power,module,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/power.pyx#L24
01,Implemented,sage.arith.power.generic_power,sage.arith.power,generic_power,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/power.pyx#L24
01,Implemented,sage.arith.srange,sage.arith.srange,srange,module,,
01,Implemented,sage.arith.srange.ellipsis_iter,sage.arith.srange,ellipsis_iter,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/srange.pyx#L321
01,Implemented,sage.arith.srange.ellipsis_range,sage.arith.srange,ellipsis_range,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/srange.pyx#L449
01,Implemented,sage.arith.srange.srange,sage.arith.srange,srange,function,,https://github.com/sagemath/sage/blob/develop/src/sage/arith/srange.pyx#L175
